File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
1168022.csv,TT Beaumont,1,1,16,6,4,0,0,3,0,13,bowled,0,0,0,0
1168022.csv,AE Jones,1,2,0,4,0,0,0,0,0,4,caught,0,0,0,0
1168022.csv,SJ Taylor,1,3,1,8,1,0,0,0,0,9,bowled,0,0,0,0
1168022.csv,NR Sciver,1,4,64,58,26,7,0,6,0,97,lbw,19,21,1,1
1168022.csv,HC Knight,1,5,0,1,0,0,0,0,0,1,lbw,0,0,0,0
1168022.csv,FC Wilson,1,6,15,15,3,0,0,3,0,21,lbw,0,0,0,0
1168022.csv,KH Brunt,1,7,20,36,12,0,0,2,0,50,lbw,58,32,5,1
1168022.csv,A Shrubsole,1,8,2,7,2,0,0,0,0,9,caught,49,32,1,1
1168022.csv,LA Marsh,1,9,24,34,16,2,0,1,0,53,,43,30,4,2
1168022.csv,S Ecclestone,1,10,27,15,7,0,0,5,0,27,caught,62,32,4,3
1168022.csv,KL Cross,1,11,1,2,1,0,0,0,0,3,bowled,31,15,1,0
1168022.csv,NE Bolton,2,1,2,13,2,0,0,0,0,15,caught,0,0,0,0
1168022.csv,AJ Healy,2,2,66,44,13,3,1,8,2,71,caught,0,0,0,0
1168022.csv,MM Lanning,2,3,16,18,6,0,0,1,1,26,lbw,0,0,0,0
1168022.csv,EA Perry,2,4,3,13,1,1,0,0,0,15,stumped,43,42,1,3
1168022.csv,RL Haynes,2,5,10,13,2,0,0,2,0,17,lbw,0,0,0,0
1168022.csv,BL Mooney,2,6,25,15,13,0,0,3,0,31,bowled,0,0,0,0
1168022.csv,A Gardner,2,7,7,7,3,0,0,1,0,11,lbw,48,27,0,2
1168022.csv,JL Jonassen,2,8,19,25,9,3,0,1,0,38,caught,48,21,0,2
1168022.csv,DM Kimmince,2,9,14,21,8,1,0,1,0,31,,32,27,2,1
1168022.csv,G Wareham,2,10,0,7,0,0,0,0,0,7,,60,37,0,0
1168022.csv,ML Schutt,2,,0,0,0,0,0,0,0,0,,56,16,4,2
564785.csv,G Gambhir,1,1,88,43,41,8,1,7,0,100,caught,0,0,0,0
564785.csv,AM Rahane,1,2,9,14,3,1,0,1,0,19,lbw,0,0,0,0
564785.csv,V Kohli,1,3,23,23,7,4,0,2,0,36,lbw,6,3,0,1
564785.csv,RG Sharma,1,4,4,8,0,0,0,1,0,9,bowled,36,23,2,0
564785.csv,MK Tiwary,1,5,65,29,28,5,1,6,0,69,caught,6,14,0,0
564785.csv,SK Raina,1,6,0,1,0,0,0,0,0,1,caught,12,12,0,0
564785.csv,MS Dhoni,1,7,58,12,14,3,0,8,1,38,caught,0,0,0,0
564785.csv,IK Pathan,1,8,29,6,19,1,0,2,0,28,,64,56,7,5
564785.csv,R Ashwin,1,9,2,3,2,0,0,0,0,5,,54,37,1,0
564785.csv,AB Dinda,1,,0,0,0,0,0,0,0,0,,46,55,0,2
564785.csv,Z Khan,1,,0,0,0,0,0,0,0,0,,59,45,19,2
564785.csv,WU Tharanga,2,1,31,11,6,0,3,4,0,24,caught,0,0,0,0
564785.csv,TM Dilshan,2,2,0,4,0,0,0,0,0,4,caught,0,0,0,0
564785.csv,HDRL Thirimanne,2,3,77,55,33,3,0,5,3,99,run out,0,0,0,0
564785.csv,LD Chandimal,2,4,8,6,0,0,0,2,0,8,lbw,0,0,0,0
564785.csv,AD Mathews,2,5,13,10,3,1,0,2,0,16,run out,30,29,0,0
